"level","parent","Topic / Item","Count","Average","Min Val","Max Val","Rate (ms)","Percent","Burst Rate","Burst Start",
0,"","Packet Lengths",3011,423.61,42,1174,0.1824,100%,1.8400,7.820
1,"/Packet Lengths","0-19",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","20-39",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","40-79",67,68.51,42,78,0.0041,2.23%,0.1500,2.437
1,"/Packet Lengths","80-159",4,126.75,111,143,0.0002,0.13%,0.0200,6.034
1,"/Packet Lengths","160-319",722,317.32,180,319,0.0437,23.98%,0.4600,7.800
1,"/Packet Lengths","320-639",2217,469.16,321,580,0.1343,73.63%,1.3800,7.820
1,"/Packet Lengths","640-1279",1,1174.00,1174,1174,0.0001,0.03%,0.0100,5.998
1,"/Packet Lengths","1280-2559",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","2560-5119",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","5120 and greater",0,-,-,-,0.0000,0.00%,-,-
